n,tousen
11011,0.908092
11012,0.9081
11013,0.908109
11014,0.908026
11015,0.907944
11016,0.907952
11017,0.90787
11018,0.907878
11019,0.907886
11020,0.907895
11021,0.907903
11022,0.907911
11023,0.90792
11024,0.907928
11025,0.907937
11026,0.907945
11027,0.907953
11028,0.907871
11029,0.907879
11030,0.907888
11031,0.907896
11032,0.907904
11033,0.907913
11034,0.907921
11035,0.907929
11036,0.907938
11037,0.907946
11038,0.907864
11039,0.907872
11040,0.90788
11041,0.907889
11042,0.907897
11043,0.907905
11044,0.907914
11045,0.907922
11046,0.90784
11047,0.907848
11048,0.907857
11049,0.907865
11050,0.907873
11051,0.907882
11052,0.90789
11053,0.907898
11054,0.907907
11055,0.907915
11056,0.907923
11057,0.907841
11058,0.90785
11059,0.907858
11060,0.907866
11061,0.907875
11062,0.907883
11063,0.907891
11064,0.907899
11065,0.907908
11066,0.907916
11067,0.907924
11068,0.907933
11069,0.907851
11070,0.907859
11071,0.907867
11072,0.907785
11073,0.907794
11074,0.907712
11075,0.90772
11076,0.907728
11077,0.907737
11078,0.907745
11079,0.907753
11080,0.907671
11081,0.90768
11082,0.907598
11083,0.907606
11084,0.907615
11085,0.907623
11086,0.907631
11087,0.90764
11088,0.907648
11089,0.907656
11090,0.907665
11091,0.907673
11092,0.907681
11093,0.90769
11094,0.907698
11095,0.907706
11096,0.907714
11097,0.907723
11098,0.907731
11099,0.907739
11100,0.907748
11101,0.907666
11102,0.907674
11103,0.907683
11104,0.907691
11105,0.907699
11106,0.907618
11107,0.907536
11108,0.907544
11109,0.907552
11110,0.907561
11111,0.907569
11112,0.907577
11113,0.907586
11114,0.907594
11115,0.907512
11116,0.907431
11117,0.907439
11118,0.907447
11119,0.907456
11120,0.907464
11121,0.907472
11122,0.907481
11123,0.907489
11124,0.907497
11125,0.907506
11126,0.907424
11127,0.907432
11128,0.907351
11129,0.907359
11130,0.907367
11131,0.907376
11132,0.907384
11133,0.907392
11134,0.907401
11135,0.907409
11136,0.907417
11137,0.907426
11138,0.907434
11139,0.907442
11140,0.907451
11141,0.907459
11142,0.907377
11143,0.907386
11144,0.907394
11145,0.907313
11146,0.907321
11147,0.907329
11148,0.907338
11149,0.907346
11150,0.907265
11151,0.907273
11152,0.907281
11153,0.90729
11154,0.907298
11155,0.907306
11156,0.907314
11157,0.907323
11158,0.907331
11159,0.907339
11160,0.907348
11161,0.907356
11162,0.907364
11163,0.907373
11164,0.907381
11165,0.907389
11166,0.907397
11167,0.907406
11168,0.907414
11169,0.907422
11170,0.907431
11171,0.907439
11172,0.907447
11173,0.907366
11174,0.907374
11175,0.907383
11176,0.907391
11177,0.907399
11178,0.907318
11179,0.907326
11180,0.907335
11181,0.907343
11182,0.907351
11183,0.907359
11184,0.907368
11185,0.907376
11186,0.907384
11187,0.907393
11188,0.907401
11189,0.907409
11190,0.907417
11191,0.907426
11192,0.907434
11193,0.907442
11194,0.90745
11195,0.907459
11196,0.907467
11197,0.907475
11198,0.907483
11199,0.907492
11200,0.9075
11201,0.907508
11202,0.907517
11203,0.907525
11204,0.907533
11205,0.907541
11206,0.90746
11207,0.907469
11208,0.907477
11209,0.907485
11210,0.907493
11211,0.907502
11212,0.90751
11213,0.907518
11214,0.907526
11215,0.907535
11216,0.907543
11217,0.907551
11218,0.907559
11219,0.907478
11220,0.907487
11221,0.907495
11222,0.907503
11223,0.907422
11224,0.907431
11225,0.907439
11226,0.907447
11227,0.907455
11228,0.907463
11229,0.907472
11230,0.90748
11231,0.907488
11232,0.907496
11233,0.907505
11234,0.907513
11235,0.907521
11236,0.907529
11237,0.907538
11238,0.907546
11239,0.907554
11240,0.907562
11241,0.907571
11242,0.90749
11243,0.907409
11244,0.907417
11245,0.907426
11246,0.907434
11247,0.907442
11248,0.90745
11249,0.907458
11250,0.907467
11251,0.907475
11252,0.907483
11253,0.907491
11254,0.9075
11255,0.907508
11256,0.907516
11257,0.907435
11258,0.907355
11259,0.907363
11260,0.907371
11261,0.907379
11262,0.907388
11263,0.907396
11264,0.907404
11265,0.907412
11266,0.907332
11267,0.90734
11268,0.907259
11269,0.907268
11270,0.907276
11271,0.907284
11272,0.907292
11273,0.907212
11274,0.90722
11275,0.907228
11276,0.907237
11277,0.907156
11278,0.907164
11279,0.907173
11280,0.907181
11281,0.907189
11282,0.907197
11283,0.907206
11284,0.907125
11285,0.907133
11286,0.907142
11287,0.90715
11288,0.907158
11289,0.907166
11290,0.907174
11291,0.907183
11292,0.907191
11293,0.907199
11294,0.907207
11295,0.907216
11296,0.907224
11297,0.907232
11298,0.90724
11299,0.907248
11300,0.907257
11301,0.907265
11302,0.907273
11303,0.907281
11304,0.907289
11305,0.907298
11306,0.907306
11307,0.907314
11308,0.907322
11309,0.90733
11310,0.90725
11311,0.907258
11312,0.907267
11313,0.907275
11314,0.907195
11315,0.907203
11316,0.907211
11317,0.907219
11318,0.907227
11319,0.907236
11320,0.907244
11321,0.907164
11322,0.907172
11323,0.90718
11324,0.907188
11325,0.907196
11326,0.907205
11327,0.907213
11328,0.907133
11329,0.907141
11330,0.907149
11331,0.907157
11332,0.907077
11333,0.907086
11334,0.907005
11335,0.907014
11336,0.907022
11337,0.90703
11338,0.907038
11339,0.907046
11340,0.907055
11341,0.907063
11342,0.907071
11343,0.907079
11344,0.907087
11345,0.907096
11346,0.907016
11347,0.907024
11348,0.907032
11349,0.90704
11350,0.907048
11351,0.907057
11352,0.907065
11353,0.907073
